{PERIODS};Electricity (%_elec);Space Heating (%_sh);SPACE_COOLING;Passanger mobility (%_pass);Freight mobility (%_freight);PV;PV_UTILITY;Wind_onshore;Wind_offshore;HYDRO_DAM;Hydro_river;TIDAL;Solar;PT_COLLECTOR;ST_COLLECTOR
193;0.000109791;0.00020548;0;5.87E-06;0.000114155;0;0;0.4206;0.6364;0;0;0.081531404;0;0;0
194;0.000107877;0.00020306;0;2.35E-06;0.000114155;0;0;0.5096;0.7515;0;0;0.364110051;0;0;0
195;0.000106903;0.0001981;0;1.17E-06;0.000114155;0;0;0.5956;0.8191;0;0;0.461317798;0;0;0
196;0.000106453;0.00019647;0;1.41E-05;0.000114155;0;0;0.7312;0.9132;0;0;0.291526888;0;0;0
197;0.000106723;0.00018839;0;3.76E-05;0.000114155;0;0;0.9102;0.98;0;0;0.085808436;0;0;0
198;0.000108226;0.00017397;0;9.40E-05;0.000114155;0;0;0.9574;0.9855;0;0;0.003028851;0;0;0
199;0.00011265;0.00015993;0;0.0001821;0.000114155;0;0;0.949;0.9854;0;0;0.009875303;0;0;0
200;0.000119608;0.00014871;0;0.000158603;0.000114155;0;0;0.9304;0.976;0;0;0.138948358;0;0;0
201;0.000124555;0.00013895;0;0.000146855;0.000114155;0;0;0.9128;0.9647;0;0;0.205528108;0;0;0
202;0.000126252;0.00012803;0;0.000164478;0.000114155;0.01;0.01;0.9003;0.9616;0;0;0.13591262;0;0;0
203;0.00012666;0.00011768;0;0.000187974;0.000114155;0.03;0.03;0.8841;0.9529;0;0;0.048715936;0;0;0
204;0.000126756;0.00011038;0;0.000206772;0.000114155;0.04;0.04;0.8657;0.9442;0;0;0.003121564;0;0;0
205;0.000126094;0.00010543;0;0.000187974;0.000114155;0.03;0.03;0.8556;0.9336;0;0;0.067865928;0.01379486;0;0
206;0.000125909;0.00010896;0;0.000190324;0.000114155;0.03;0.03;0.8411;0.9189;0;0;0.309422813;0.04099457;0;0
207;0.000125262;0.00011685;0;0.000213821;0.000114155;0.01;0.01;0.8128;0.8925;0;0;0.390429696;0;0;0
208;0.00012496;0.00012368;0;0.00022322;0.000114155;0;0;0.7757;0.8543;0;0;0.248359403;0;0;0
209;0.000125817;0.00012803;0;0.00022322;0.000114155;0;0;0.7645;0.8353;0;0;0.073331627;0;0;0
210;0.000127461;0.00012997;0;0.000164478;0.000114155;0;0;0.7356;0.7987;0;0;0.002848967;0;0;0
211;0.000125651;0.00012989;0;0.000117484;0.000114155;0;0;0.6635;0.7654;0;0;0.00708204;0;0;0
212;0.000123623;0.00012205;0;8.81E-05;0.000114155;0;0;0.6807;0.8166;0;0;0.113407888;0;0;0
213;0.000121171;0.00010938;0;5.87E-05;0.000114155;0;0;0.7162;0.9095;0;0;0.174552443;0;0;0
214;0.000118292;9.87E-05;0;3.76E-05;0.000114155;0;0;0.7669;0.9507;0;0;0.11883387;0;0;0
215;0.000115522;9.14E-05;0;2.35E-05;0.000114155;0;0;0.8322;0.9742;0;0;0.044625347;0;0;0
216;0.000113255;8.87E-05;0;9.40E-06;0.000114155;0;0;0.8883;0.969;0;0;0.003121564;0;0;0
217;0.000110792;8.95E-05;0;5.87E-06;0.000114155;0;0;0.8968;0.964;0;0;0.05304916;0;0;0
218;0.000108505;9.04E-05;0;2.35E-06;0.000114155;0;0;0.8956;0.9613;0;0;0.249139771;0;0;0
219;0.000107165;9.13E-05;0;1.17E-06;0.000114155;0;0;0.8983;0.9639;0;0;0.312542174;0;0;0
220;0.000106438;9.28E-05;0;1.41E-05;0.000114155;0;0;0.9033;0.9681;0;0;0.200680472;0;0;0
221;0.000106095;9.54E-05;0;3.76E-05;0.000114155;0;0;0.8996;0.9664;0;0;0.059516559;0;0;0
