TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
GAS_STORAGE	0.000830	0.000022	50.000000	0.000000	0.016598	Infinity	0.000000	-1.000000	1.000000	0.000241	1.000000	0.028572	
H2_STORAGE	609.488127	38.400706	20.000000	0.000000	98.463349	Infinity	0.000000	-1.000000	1.000000	0.013429	1.000000	0.058246	
DIESEL_STORAGE	0.010076	0.000400	20.000000	0.000000	1.007605	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.058246	
GASOLINE_STORAGE	0.009775	0.000388	20.000000	0.000000	0.977512	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.058246	
LFO_STORAGE	0.012122	0.000481	20.000000	0.000000	1.212178	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.058246	
AMMONIA_STORAGE	0.000013	0.000001	20.000000	0.000000	0.001270	Infinity	0.000000	-1.000000	1.000000	0.000004	1.000000	0.058246	
METHANOL_STORAGE	0.000000	0.000000	20.000000	0.000000	0.000010	Infinity	0.000000	-1.000000	1.000000	0.000016	1.000000	0.058246	
CO2_STORAGE	852.628743	8.526287	30.000000	0.000000	17.224823	Infinity	0.000000	-1.000000	1.000000	0.041202	1.000000	0.041639	
PT_STORAGE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.048263	
ST_STORAGE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.000000	1.000000	0.048263	
TS_COLD	0.089531	0.001074	20.000000	0.000000	0.003581	Infinity	0.000000	-1.000000	1.000000	0.002160	1.000000	0.058246	
CAES	0.095874	0.007830	50.000000	0.000000	0.002462	10.000000	0.000000	-1.000000	1.000000	0.000330	1.000000	0.028572	
ADLIBIO_TO_FUEL	0.000452	0.000007	20.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.001642	1.000000	0.058246	
AMMONIA_TO_H2	0.000448	0.000041	25.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.000190	0.860000	0.048263	
ATM_CCS	20742.560101	514.897937	40.000000	0.000000	3.972978	Infinity	0.000000	-1.000000	1.000000	0.995842	1.000000	0.033427	
BIO_HYDROLYSIS	0.001472	0.000100	15.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.002752	0.850000	0.074944	
BIOMETHANATION	0.000600	0.000008	20.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.002939	0.850000	0.058246	
DHN	28444.413292	0.000000	60.000000	0.000000	34.441339	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.025393	
EFFICIENCY	5517.241379	0.000000	1.000000	0.000000	0.985222	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	1.015000	
GASIFICATION_SNG	0.001538	0.000108	25.000000	0.000000	0.000001	Infinity	0.000000	-1.000000	1.000000	0.001046	0.850000	0.048263	
GRID	174755.046168	0.000000	80.000000	0.000000	2.332585	Infinity	0.000000	-1.000000	1.000000	0.000000	1.000000	0.021548	
H2_BIOMASS	32233.580116	2270.825326	25.000000	0.000000	11.603495	Infinity	0.000000	-1.000000	1.000000	0.422702	0.860000	0.048263	
H2_ELECTROLYSIS	19325.766379	531.461144	15.000000	0.000000	25.445715	Infinity	0.000000	-1.000000	1.000000	0.784560	0.900000	0.074944	
INDUSTRY_CCS	0.004012	0.000100	40.000000	0.000000	0.000002	Infinity	0.000000	-1.000000	1.000000	0.001131	1.000000	0.033427	
REDIFUEL	0.001286	0.000033	20.000000	0.000000	0.000000	Infinity	0.000000	-1.000000	1.000000	0.000402	1.000000	0.058246	
SMR	0.001471	0.000136	25.000000	0.000000	0.000002	Infinity	0.000000	-1.000000	1.000000	0.001012	0.860000	0.048263	
SYN_METHANATION	8883.324927	2269.740177	40.000000	0.000000	30.425472	Infinity	0.000000	-1.000000	1.000000	0.650188	1.000000	0.033427	
PT_COLLECTOR	20891.399997	1253.000000	25.000000	0.000000	20.000000	20.000000	0.000000	-1.000000	1.000000	0.999999	1.000000	0.048263	
ST_COLLECTOR	1000.000000	100.000000	25.000000	0.000000	20.000000	20.000000	0.000000	-1.000000	1.000000	0.999999	1.000000	0.048263	
