Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_tech;crit_2_tech;crit_3_tech;crit_1_op;crit_2_op;crit_3_op;lca_tech;lca_op;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];[ACI];[LU];[WD];[ACI];[LU];[WD];[CC];[CC];
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3210.53;47.89391701;331.6;35;0.856;0;1;0;0;3.541258425;5143.161102;123.5658992;0.003577726;0.005518431;0.037564906;256.5274014;0.591706002;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2489.35;29.06437818;331.6;35;0.868;0;1;0;0;1.783050298;3930.420768;125.5372703;0.003943113;0.006082019;0.041401348;194.3255933;0.652135953;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;6712.36;125.0934289;2193.45;20;1;0;1;0;1.00E+15;13.56761026;21278.64094;942.8590594;0.000206269;0.255004456;0.007717363;1003.462391;0.930750965;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;6712.36;125.0934289;2193.45;20;1;0;1;0;1.00E+15;13.56761026;21278.64094;942.8590594;0.000194387;0.255004456;0.007717363;1003.462391;0.005150789;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;158.54;4.756999719;21.09;17;1;0;1;0;1.00E+15;0.435153564;338.3561082;21.33532703;6.56793E-05;0;0;26.50474158;0.207852956;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142.38;8.54012548;21.09;17;1;0;1;0;1.00E+15;0.435153564;338.3561082;21.33532703;0.000382501;0;0;26.50474158;0.287243009;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462.44;16.18129038;21.09;17;1;0;1;0;1.00E+15;1.098589594;12068.14206;87.36513301;0.000416356;0.000949893;0.014716103;219.3823597;0.441911868;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1375.29;88.4020465;1024.32;20;1;0;1;0;1.00E+15;4.300249824;3968.324936;195.917156;0.00034799;0.02406904;0.000972288;496.241637;0.396783366;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1275.2;78.23893964;1024.32;20;1;0;1;0;1.00E+15;4.300249824;3968.324936;195.917156;0.005743839;0.005760723;0.004570828;496.241637;0.60004256;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;39.25;0.171565021;1.47;15;1;0;1;0;1.00E+15;0.006767676;11.4904208;0.473653684;0;0;0;0.918008371;0;
